id,name,kind,note,x1,y1,z1,u1,x2,y2,z2,u2,lon,lat,dx,dy,dz,distance_3d,distance_horizontal,distance_vertical,height_difference,lean_offset_m,lean_angle_deg,lean_azimuth_deg,lean_mm_per_m,uncertainty_m,angle_uncertainty_deg
d0ffccf0-f55d-41c9-840a-e16b1ecfe3b2,Point 1,point,,243522.67199946605,3178243.48400061,-11.824999175993383,0.17125732421880002,,,,,48.37465357739155,28.706056173752046,,,,,,,,,,,,0.17125732421880002,
d55ea8e5-86d2-4869-b506-a020bae1d362,Point 2,point,,243522.59000014508,3178248.321999916,166.7179999867382,0.021407165527350003,,,,,48.374651649005806,28.70609978098527,,,,,,,,,,,,0.021407165527350003,
1ef64a8b-c986-47f9-8b75-ab9c9e11e7fe,Point 3,point,,243522.54200003826,3178264.9600001373,-9.553999998590683,0.021407165527350003,,,,,48.374647410390075,28.706249793814113,,,,,,,,,,,,0.021407165527350003,
6bcd7916-d270-4069-b6b7-e1f42c7fddab,Point 4,point,,243537.56999988758,3178250.8250001753,-15.09000001522358,0.042814331054700006,,,,,48.374804290688516,28.706125324941215,,,,,,,,,,,,0.042814331054700006,
b45106e9-e7d5-4d8d-804f-2409f7c48b30,Point 5,point,,243537.54899997913,3178253.0780004347,-11.150999885523873,0.021407165527350003,,,,,48.37480356845869,28.70614563574033,,,,,,,,,,,,0.021407165527350003,
84bd5043-a0c4-4ba7-9d52-16f49cd13f52,Point 6,point,,243537.6619998952,3178259.954999794,-22.711999984707603,0.042814331054700006,,,,,48.37480317519684,28.706207667062596,,,,,,,,,,,,0.042814331054700006,
cae87092-3698-4407-b7dc-e7ee75aacf1b,Point 7,point,,243552.63799993717,3178242.641999859,-32.06899983975231,0.042814331054700006,,,,,48.37496023919467,28.706054532108308,,,,,,,,,,,,0.042814331054700006,
9d7de271-5ea0-421d-9b5c-f52cf07752f9,Point 8,point,,243552.60400002683,3178265.8819999993,-42.644000335667755,0.08562866210940001,,,,,48.374954657282956,28.70626407701706,,,,,,,,,,,,0.08562866210940001,
077a95de-78b1-4e5f-ad37-b967e88f4d23,Point 9,point,,243552.53600018704,3178287.369999718,-26.052999816862524,0.042814331054700006,,,,,48.37494912218125,28.70645781763794,,,,,,,,,,,,0.042814331054700006,
c3b1d168-2995-40e7-9a71-fd58a61fbe35,Point 10,point,,243542.738999817,3178242.7100004423,-27.000999771086157,0.08562866210940001,,,,,48.37485898353812,28.70605317962478,,,,,,,,,,,,0.08562866210940001,
